Datetime,Transaction_ID,Television,Dryer,Oven,Refrigerator,Microwave,Line Voltage,Voltage,Apparent Power,Energy Consumption (kWh),Month,Day of the Week,Hour of the Day,Offloading Decision
7/26/2022 17:56,32115,1,0,0,0,1,236,231,1917,38.82486083,July,Tuesday,17,Local
2/15/2021 5:33,14084,1,1,0,0,1,220,214,1695,96.21805222,February,Monday,5,Local
2/15/2022 8:32,26588,1,1,1,0,1,233,232,1942,34.06561354,February,Tuesday,8,Local
1/12/2022 2:29,25415,0,1,0,1,0,229,223,1757,11.89881961,January,Wednesday,2,Local
1/24/2021 7:15,13333,0,0,1,0,1,228,227,1656,24.68912252,January,Sunday,7,Local
1/16/2020 21:56,546,1,0,1,1,0,224,217,1932,97.96005708,January,Thursday,21,Local
3/23/2020 5:29,2817,1,1,0,1,0,222,213,1695,68.2587759,March,Monday,5,Local
8/4/2023 6:03,44906,0,1,0,0,0,224,220,1753,24.66218608,August,Friday,6,Local
5/2/2020 2:06,4182,1,1,1,0,0,228,222,1816,72.09020208,May,Saturday,2,Local
11/5/2022 7:22,35593,0,0,1,1,1,232,231,1703,95.29343607,November,Saturday,7,Local
9/4/2021 0:21,20960,0,1,0,0,0,234,228,1880,95.82361333,September,Saturday,0,Local
5/29/2022 20:13,30132,1,0,0,0,0,221,220,1939,92.76650269,May,Sunday,20,Local
1/26/2022 7:47,25902,0,0,1,1,0,226,220,1912,24.8772778,January,Wednesday,7,Local
4/22/2020 11:32,3853,1,1,0,1,1,239,231,1715,22.96493122,April,Wednesday,11,Local
4/18/2022 22:23,28731,1,0,0,0,0,220,220,1524,70.80608774,April,Monday,22,Local
12/17/2022 7:50,37032,0,0,1,0,0,229,227,1537,62.15024306,December,Saturday,7,Local
3/5/2020 16:18,2216,1,1,0,1,0,225,221,1531,28.9285503,March,Thursday,16,Local
12/21/2021 4:10,24664,0,0,1,1,0,233,231,1776,43.30349656,December,Tuesday,4,Local
4/22/2023 20:28,41365,1,1,0,1,1,222,219,1798,47.24055855,April,Saturday,20,Local
5/28/2020 19:20,5097,1,1,0,1,1,221,212,1975,40.96322866,May,Thursday,19,Local
1/27/2023 23:12,38458,1,1,0,1,1,224,220,1897,29.3775793,January,Friday,23,Local
5/23/2020 13:12,4917,0,1,1,0,1,222,219,1986,47.10938961,May,Saturday,13,Local
5/11/2021 15:26,17009,1,1,0,1,1,221,220,1722,96.13448025,May,Tuesday,15,Local
9/6/2022 2:59,33532,0,1,1,1,1,229,223,1896,90.44886663,September,Tuesday,2,Local
3/12/2023 18:25,39958,0,1,1,0,1,225,217,1865,99.22070751,March,Sunday,18,Local
1/25/2023 16:32,38380,0,0,0,1,0,238,231,1937,95.55298839,January,Wednesday,16,Local
3/12/2022 1:25,27434,0,1,1,1,1,224,218,1663,66.46290708,March,Saturday,1,Local
1/10/2021 13:10,12862,0,0,1,0,1,237,237,1899,91.55195921,January,Sunday,13,Local
12/10/2022 7:38,36792,0,1,1,0,1,222,221,1624,39.69074247,December,Saturday,7,Local
11/27/2021 19:31,23864,0,0,1,1,1,239,238,1587,12.13046452,November,Saturday,19,Local
1/21/2022 8:38,25732,0,1,0,0,1,225,221,1666,18.6124589,January,Friday,8,Local
2/22/2022 7:20,26826,1,1,1,0,1,237,233,1671,66.74190214,February,Tuesday,7,Local
12/6/2021 23:34,24178,0,0,1,1,1,238,237,1947,18.62046021,December,Monday,23,Local
1/30/2021 9:43,13542,0,1,1,0,0,229,222,1632,11.98910398,January,Saturday,9,Local
6/15/2020 0:07,5686,0,1,0,1,0,223,217,1652,89.53082603,June,Monday,0,Local
1/17/2023 20:01,38111,0,1,0,1,1,228,225,1630,46.99785878,January,Tuesday,20,Local
6/3/2023 13:56,42794,0,1,1,1,1,229,221,1564,72.99481232,June,Saturday,13,Local
8/4/2021 18:19,19924,1,1,1,0,0,221,221,1525,68.54810623,August,Wednesday,18,Local
9/10/2020 15:58,8688,0,0,1,1,0,232,227,1867,25.13805643,September,Thursday,15,Local
5/3/2023 15:46,41735,1,1,1,0,0,220,213,1575,11.00759514,May,Wednesday,15,Local
