Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Energy_Consumption_kWh
17,2,7,2,231,38.82486083
5,1,2,2,214,96.21805222
8,2,2,0,232,34.06561354
2,3,1,2,223,11.89881961
7,7,1,1,227,24.68912252
21,4,1,1,217,97.96005708
5,1,3,2,213,68.2587759
6,5,8,2,220,24.66218608
2,6,5,0,222,72.09020208
7,6,11,1,231,95.29343607
0,6,9,2,228,95.82361333
20,7,5,2,220,92.76650269
7,3,1,1,220,24.8772778
11,3,4,2,231,22.96493122
22,1,4,2,220,70.80608774
7,6,12,1,227,62.15024306
16,4,3,2,221,28.9285503
4,2,12,1,231,43.30349656
20,6,4,2,219,47.24055855
19,4,5,2,212,40.96322866
23,5,1,2,220,29.3775793
13,6,5,0,219,47.10938961
15,2,5,2,220,96.13448025
2,2,9,1,223,90.44886663
18,7,3,0,217,99.22070751
16,3,1,1,231,95.55298839
1,6,3,1,218,66.46290708
13,7,1,1,237,91.55195921
7,6,12,0,221,39.69074247
19,6,11,1,238,12.13046452
8,5,1,2,221,18.6124589
7,2,2,0,233,66.74190214
23,1,12,1,237,18.62046021
9,6,1,0,222,11.98910398
0,1,6,2,217,89.53082603
20,2,1,2,225,46.99785878
13,6,6,1,221,72.99481232
18,3,8,0,221,68.54810623
15,4,9,1,227,25.13805643
15,3,5,0,213,11.00759514
22,2,4,2,224,68.69274632
16,2,10,0,217,15.55450685
4,1,4,2,227,56.84244201
12,5,6,0,225,78.86872415
5,6,9,1,219,74.88227699
2,6,5,1,220,86.28554276
19,5,3,1,232,59.97531896
8,1,3,0,213,82.75525017
2,7,10,2,214,16.894757
14,2,5,1,236,14.25525573
5,7,6,2,227,35.6335031
4,7,4,2,213,39.84072566
6,5,11,2,223,10.54440074
17,3,6,1,227,45.02970692
1,5,9,1,223,97.49171377
1,6,8,1,223,11.1034307
14,5,3,2,230,59.38852724
21,3,11,2,219,99.18942712
4,6,8,1,221,46.32170497
15,1,6,0,237,79.88768766
17,2,6,0,234,18.54417017
23,5,5,2,213,15.13286569
0,5,7,1,222,85.33694159
5,1,6,1,232,87.26420641
18,5,5,1,231,48.6513684
6,1,12,2,237,65.5804731
6,5,8,2,230,10.59893474
12,5,5,1,229,29.73823826
12,3,7,0,222,60.93346558
18,1,10,2,217,19.46657506
3,3,1,1,220,62.2827048
19,4,11,1,230,62.4109562
21,3,7,1,225,72.53014818
22,3,6,2,220,73.31970181
5,1,2,0,224,25.50959266
3,6,9,2,221,66.48110251
23,1,9,2,217,55.12763916
5,2,6,2,221,54.60222225
7,7,7,2,234,62.7706629
23,1,9,0,220,79.14521479
2,2,2,0,217,60.06843594
22,7,8,0,218,28.79236375
9,7,2,2,219,95.49251938
3,6,10,1,218,69.11149659
23,6,10,2,236,39.40584394
19,5,4,2,230,41.44927172
0,2,10,2,223,44.3115193
22,1,8,1,229,78.96821192
1,4,2,2,233,31.8985369
6,1,4,1,220,95.77571375
12,1,6,0,234,94.24376185
12,7,10,2,235,20.67318504
21,4,5,1,220,81.33631168
6,3,8,2,221,51.1568632
23,6,7,0,232,80.86693776
23,2,6,0,226,42.68406254
7,2,5,1,217,36.20729277
5,3,9,1,215,27.1142412
19,7,4,1,231,29.66931786
23,4,12,0,217,88.17983878
12,1,8,2,229,90.35500428
0,6,5,1,238,48.49682018
11,2,10,2,229,50.27251217
6,4,1,2,220,52.36964684
5,7,11,1,237,71.43243776
6,7,10,1,214,36.5703743
23,3,6,2,227,76.7208617
9,6,2,2,223,64.81633435
14,5,1,1,237,59.05389663
11,7,1,1,224,17.84200266
7,3,11,1,228,54.27740933
7,5,10,2,222,74.26856687
21,7,6,2,223,60.59314199
3,6,10,0,219,58.30309897
23,2,12,0,223,46.58479739
23,3,1,1,218,21.83501006
13,5,12,1,221,59.87691659
4,4,3,1,230,80.4857999
8,5,7,2,227,93.42584477
9,3,3,1,216,96.78151447
7,3,2,2,229,88.2502557
17,7,4,0,220,27.95305328
5,7,9,2,223,18.79520997
11,6,8,0,212,21.69474382
16,5,10,1,219,92.430027
17,6,12,1,228,40.56207623
19,4,6,0,228,78.14247174
18,7,6,2,219,58.47352921
12,3,3,2,219,17.48304112
0,5,7,2,223,71.22106493
22,3,5,1,217,47.76063983
2,7,10,1,217,70.48062116
13,1,11,1,230,39.46578006
10,5,6,2,235,51.75069685
10,2,10,1,233,60.87348671
4,5,9,2,222,30.802844
9,4,10,0,232,66.63773275
18,5,1,1,214,99.35711974
9,1,2,0,218,16.41711207
8,4,7,2,222,30.91751421
6,7,8,1,220,70.53655475
23,7,3,2,226,14.56016278
6,6,4,2,233,60.18996334
17,4,2,2,222,93.1095873
6,3,2,1,220,58.63261695
9,2,3,2,237,77.05320218
3,6,1,0,224,41.94058819
0,2,4,1,234,40.26989651
19,7,7,1,235,93.89907627
17,3,10,0,221,32.1745133
22,1,4,2,221,39.52223773
8,5,7,2,227,61.51639834
20,3,11,1,216,35.60401167
22,5,6,2,220,91.63127526
1,7,7,2,236,71.30728834
19,7,2,0,238,29.58206691
7,7,8,1,225,41.04990789
23,6,9,0,225,91.03943071
0,5,1,2,220,17.46466885
6,3,2,1,216,90.41655225
4,7,11,1,214,72.8006285
4,3,1,1,224,13.13926076
4,3,11,1,222,35.42596408
12,4,6,1,231,40.49161136
16,3,6,2,231,13.52199327
0,6,11,1,230,17.28925313
4,3,10,2,232,67.85994194
22,7,11,2,221,58.77144025
7,1,7,2,226,93.33642932
9,2,3,1,214,26.02943596
4,3,6,0,230,73.94806663
11,7,2,1,222,90.69732359
12,1,5,2,227,34.08066389
6,6,7,2,218,58.99358511
9,5,4,0,217,26.68036728
0,2,11,0,233,15.4328898
12,4,1,0,218,84.28711109
3,3,12,1,229,30.90076715
9,1,3,1,229,32.88811425
17,1,3,0,216,81.29046793
7,2,2,2,226,65.5397142
22,5,5,2,235,14.14454727
15,3,9,1,232,11.94523046
15,7,3,2,213,99.34045559
13,4,8,1,224,40.71787762
11,2,2,0,229,56.51160482
8,1,3,1,232,30.39536658
23,6,7,2,227,36.17171196
4,1,7,1,223,67.65307766
9,1,3,2,238,66.71045103
5,2,4,1,228,72.73435348
5,7,10,1,215,31.8483125
12,3,7,0,217,98.58974325
5,1,11,1,219,19.02135042
4,5,10,2,226,15.63423652
12,3,6,2,221,93.74190253
15,5,9,2,227,38.8549774
11,4,2,0,220,87.97440653
15,4,12,1,220,85.97161058
6,5,1,2,224,26.96355421
4,6,2,1,230,83.60682639
14,3,1,2,232,15.05266982
16,2,5,2,219,70.65109754
14,3,4,1,235,67.37423128
14,5,5,2,223,54.50462727
10,6,7,2,223,25.48593192
21,6,12,2,224,78.63704848
5,2,8,1,215,98.61540105
5,7,12,2,228,40.8619626
21,1,9,1,220,34.42461911
22,3,11,2,213,41.80063017
21,7,3,0,221,16.75108532
20,7,8,2,225,26.3491933
18,5,11,1,227,53.98298698
4,4,3,0,233,70.22382781
23,7,4,1,228,88.76743981
19,3,11,0,233,71.93793572
8,5,3,0,221,52.33408312
21,1,3,0,225,46.75764248
6,1,7,0,232,75.23168621
2,5,4,1,225,43.86613055
22,5,4,1,227,79.87825336
23,4,9,0,226,62.0122317
23,1,4,1,224,52.40076891
0,7,10,2,213,88.19298048
15,3,9,2,231,15.02776709
4,5,11,2,238,21.95525668
10,7,6,0,230,71.71280067
19,4,7,0,214,91.3429263
0,5,2,1,214,41.0086757
6,3,6,1,223,56.06323626
8,2,10,1,221,87.9138098
6,3,6,2,220,35.37107699
10,6,10,1,228,33.76233265
11,2,11,0,224,50.78199208
22,4,5,1,221,71.39491005
6,3,4,2,229,51.02370999
16,7,3,0,229,65.26974447
11,2,8,0,227,32.45302011
17,5,12,2,230,10.88820665
21,5,3,1,230,81.63609344
5,7,5,1,214,47.38472789
13,6,7,2,236,12.30728035
21,6,11,1,226,99.76882896
8,5,12,2,227,70.61074778
6,4,8,2,230,53.7000564
6,1,11,0,220,93.23011081
22,1,12,1,225,18.60781931
10,3,7,2,227,69.50147241
8,6,8,1,229,90.88902104
10,5,10,2,232,68.42785094
1,6,6,0,220,39.79404021
14,4,8,0,231,37.9347362
22,7,6,0,232,85.40290277
20,7,5,2,223,69.35343415
7,4,12,1,218,63.56951819
13,5,2,1,237,62.39018334
6,7,4,2,214,12.06144304
0,4,12,1,224,95.3637803
11,2,5,0,231,76.59373906
14,2,6,1,228,76.50077567
14,6,1,1,233,60.01143491
22,7,7,1,212,19.15682321
2,4,3,2,215,78.57558787
22,7,8,2,218,17.95308157
18,2,1,1,225,58.75723858
18,3,10,0,220,19.23674273
12,1,1,1,234,30.85458624
21,6,7,1,222,37.48009991
4,2,8,1,216,47.20489708
2,4,7,1,226,51.85674434
14,6,5,1,238,34.90498043
5,6,1,2,218,86.81383625
10,2,2,0,224,97.92888274
5,2,10,0,230,69.96004296
4,3,11,2,224,85.14365897
23,6,7,2,224,40.18058897
21,7,5,1,218,30.67155792
7,2,12,0,224,40.7951065
7,1,1,2,226,42.59852424
2,5,12,1,230,80.4573063
4,6,10,2,224,96.95533953
16,4,6,1,224,82.24931039
18,4,1,1,226,24.09110504
16,4,7,0,231,98.73353389
14,3,11,2,229,25.00510532
11,6,5,0,222,62.30151661
10,5,10,2,232,33.39683173
23,2,3,2,234,69.23399864
3,4,12,2,217,99.92879821
4,3,9,1,219,71.85866084
2,5,11,1,225,41.44205119
10,7,8,2,224,53.78403716
18,2,9,1,236,86.90891916
17,3,11,1,229,20.36116648
