Hour_of_Day,Day_of_Week,Month,Consumption_Pattern,Voltage,Line_Voltage,Apparent_Power,Energy_Consumption_kWh,Television,Dryer,Oven,Microwave,Refrigerator,Datetime,Transaction_ID
17,2,7,2,231,236,1917,38.82486083,1,0,0,1,0,7/26/2022 17:56,32115
5,1,2,2,214,220,1695,96.21805222,1,1,0,1,0,2/15/2021 5:33,14084
8,2,2,0,232,233,1942,34.06561354,1,1,1,1,0,2/15/2022 8:32,26588
2,3,1,2,223,229,1757,11.89881961,0,1,0,0,1,1/12/2022 2:29,25415
7,7,1,1,227,228,1656,24.68912252,0,0,1,1,0,1/24/2021 7:15,13333
21,4,1,1,217,224,1932,97.96005708,1,0,1,0,1,1/16/2020 21:56,546
5,1,3,2,213,222,1695,68.2587759,1,1,0,0,1,3/23/2020 5:29,2817
6,5,8,2,220,224,1753,24.66218608,0,1,0,0,0,8/4/2023 6:03,44906
2,6,5,0,222,228,1816,72.09020208,1,1,1,0,0,5/2/2020 2:06,4182
7,6,11,1,231,232,1703,95.29343607,0,0,1,1,1,11/5/2022 7:22,35593
0,6,9,2,228,234,1880,95.82361333,0,1,0,0,0,9/4/2021 0:21,20960
20,7,5,2,220,221,1939,92.76650269,1,0,0,0,0,5/29/2022 20:13,30132
7,3,1,1,220,226,1912,24.8772778,0,0,1,0,1,1/26/2022 7:47,25902
11,3,4,2,231,239,1715,22.96493122,1,1,0,1,1,4/22/2020 11:32,3853
22,1,4,2,220,220,1524,70.80608774,1,0,0,0,0,4/18/2022 22:23,28731
7,6,12,1,227,229,1537,62.15024306,0,0,1,0,0,12/17/2022 7:50,37032
16,4,3,2,221,225,1531,28.9285503,1,1,0,0,1,3/5/2020 16:18,2216
4,2,12,1,231,233,1776,43.30349656,0,0,1,0,1,12/21/2021 4:10,24664
20,6,4,2,219,222,1798,47.24055855,1,1,0,1,1,4/22/2023 20:28,41365
19,4,5,2,212,221,1975,40.96322866,1,1,0,1,1,5/28/2020 19:20,5097
23,5,1,2,220,224,1897,29.3775793,1,1,0,1,1,1/27/2023 23:12,38458
13,6,5,0,219,222,1986,47.10938961,0,1,1,1,0,5/23/2020 13:12,4917
15,2,5,2,220,221,1722,96.13448025,1,1,0,1,1,5/11/2021 15:26,17009
2,2,9,1,223,229,1896,90.44886663,0,1,1,1,1,9/6/2022 2:59,33532
18,7,3,0,217,225,1865,99.22070751,0,1,1,1,0,3/12/2023 18:25,39958
16,3,1,1,231,238,1937,95.55298839,0,0,0,0,1,1/25/2023 16:32,38380
1,6,3,1,218,224,1663,66.46290708,0,1,1,1,1,3/12/2022 1:25,27434
13,7,1,1,237,237,1899,91.55195921,0,0,1,1,0,1/10/2021 13:10,12862
7,6,12,0,221,222,1624,39.69074247,0,1,1,1,0,12/10/2022 7:38,36792
19,6,11,1,238,239,1587,12.13046452,0,0,1,1,1,11/27/2021 19:31,23864
8,5,1,2,221,225,1666,18.6124589,0,1,0,1,0,1/21/2022 8:38,25732
7,2,2,0,233,237,1671,66.74190214,1,1,1,1,0,2/22/2022 7:20,26826
23,1,12,1,237,238,1947,18.62046021,0,0,1,1,1,12/6/2021 23:34,24178
9,6,1,0,222,229,1632,11.98910398,0,1,1,0,0,1/30/2021 9:43,13542
0,1,6,2,217,223,1652,89.53082603,0,1,0,0,1,6/15/2020 0:07,5686
20,2,1,2,225,228,1630,46.99785878,0,1,0,1,1,1/17/2023 20:01,38111
13,6,6,1,221,229,1564,72.99481232,0,1,1,1,1,6/3/2023 13:56,42794
18,3,8,0,221,221,1525,68.54810623,1,1,1,0,0,8/4/2021 18:19,19924
15,4,9,1,227,232,1867,25.13805643,0,0,1,0,1,9/10/2020 15:58,8688
15,3,5,0,213,220,1575,11.00759514,1,1,1,0,0,5/3/2023 15:46,41735
22,2,4,2,224,230,1789,68.69274632,1,1,0,1,0,4/25/2023 22:03,41470
16,2,10,0,217,222,1824,15.55450685,0,1,1,0,0,10/18/2022 16:04,34989
4,1,4,2,227,235,1898,56.84244201,0,1,0,1,0,4/24/2023 4:42,41411
12,5,6,0,225,230,1774,78.86872415,1,0,1,0,0,6/24/2022 12:14,31011
5,6,9,1,219,221,1944,74.88227699,0,0,1,0,0,9/9/2023 5:27,46138
2,6,5,1,220,225,1879,86.28554276,0,0,0,1,1,5/9/2020 2:59,4423
19,5,3,1,232,232,1518,59.97531896,0,0,0,0,1,3/3/2023 19:16,39651
8,1,3,0,213,222,1610,82.75525017,1,1,1,1,1,3/23/2020 8:17,2821
2,7,10,2,214,222,1580,16.894757,0,1,0,0,0,10/23/2022 2:36,35141
14,2,5,1,236,239,1760,14.25525573,0,0,1,1,0,5/18/2021 14:14,17247
5,7,6,2,227,229,1956,35.6335031,0,0,0,0,0,6/19/2022 5:23,30830
4,7,4,2,213,222,1583,39.84072566,0,1,0,1,0,4/2/2023 4:17,40657
6,5,11,2,223,224,1609,10.54440074,0,1,0,0,1,11/3/2023 6:29,48023
17,3,6,1,227,227,1977,45.02970692,0,0,0,0,1,6/10/2020 17:48,5540
1,5,9,1,223,227,1691,97.49171377,0,0,0,1,1,9/1/2023 1:13,45858
1,6,8,1,223,230,1993,11.1034307,0,0,1,0,1,8/7/2021 1:40,20003
14,5,3,2,230,231,1899,59.38852724,0,1,0,1,1,3/4/2022 14:01,27178
21,3,11,2,219,226,1876,99.18942712,0,1,0,1,1,11/29/2023 21:37,48935
4,6,8,1,221,230,1825,46.32170497,1,0,0,0,1,8/6/2022 4:49,32473
15,1,6,0,237,239,1596,79.88768766,1,1,1,1,1,6/7/2021 15:41,17934
17,2,6,0,234,234,1737,18.54417017,0,1,1,1,0,6/15/2021 17:07,18210
23,5,5,2,213,220,1850,15.13286569,0,1,0,1,0,5/7/2021 23:50,16884
0,5,7,1,222,228,1932,85.33694159,0,0,0,0,1,7/29/2022 0:36,32193
5,1,6,1,232,237,1757,87.26420641,0,0,0,0,1,6/5/2023 5:52,42851
